"Organization ID","Company name","NAIC ID","Total number of confirmed complaints","Total policies","Complaint Index","Year of policy count","Line of coverage"
"75","GHS INSURANCE COMPANY","29718","0","4274","0","2019","Accident and Health"
"76","STERLING NATIONAL LIFE INSURANCE COMPANY, INC.","91785","0","1108","0","2019","Accident and Health"
"79","AMERICAN NATIONAL LIFE INSURANCE COMPANY OF TEXAS","71773","0","8779","0","2019","Accident and Health"
"87","AMERICAN PUBLIC LIFE INSURANCE COMPANY","60801","0","7111","0","2019","Accident and Health"
"91","AMERICAN REPUBLIC INSURANCE COMPANY","60836","0","538","0","2019","Accident and Health"
"93","CELTIC INSURANCE COMPANY","80799","0","299224","0","2019","Accident and Health"
"97","CHRISTIAN FIDELITY LIFE INSURANCE COMPANY","61859","0","3715","0","2019","Accident and Health"
"98","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","81973","0","7","0","2019","Accident and Health"
"105","STANDARD LIFE AND CASUALTY INSURANCE COMPANY","71706","0","564","0","2019","Accident and Health"
"109","AMERICAN INCOME LIFE INSURANCE COMPANY","60577","0","328344","0","2019","Accident and Health"
"110","CATLIN INSURANCE COMPANY, INC.","19518","0","121","0","2019","Accident and Health"
"121","WILTON REASSURANCE LIFE COMPANY OF NEW YORK","60704","0","3","0","2019","Accident and Health"
"135","AMERICAN NATIONAL INSURANCE COMPANY","60739","0","30117","0","2019","Accident and Health"
"138","AMERICAN FIDELITY ASSURANCE COMPANY","60410","0","82737","0","2019","Accident and Health"
"147","SAGICOR LIFE INSURANCE COMPANY","60445","0","1","0","2019","Accident and Health"
"152","AMERICAN GENERAL LIFE INSURANCE COMPANY","60488","0","33836","0","2019","Accident and Health"
"161","AMERICAN HEALTH AND LIFE INSURANCE COMPANY","60518","0","77141","0","2019","Accident and Health"
"162","AMERICAN HERITAGE LIFE INSURANCE COMPANY","60534","0","405614","0","2019","Accident and Health"
"163","AMERICAN HOME ASSURANCE COMPANY","19380","0","126","0","2019","Accident and Health"
"164","AMERICAN HOME LIFE INSURANCE COMPANY, THE","60542","0","8","0","2019","Accident and Health"
"169","ALLSTATE LIFE INSURANCE COMPANY","60186","0","10646","0","2019","Accident and Health"
"177","AMERICAN BANKERS LIFE ASSURANCE COMPANY OF FLORIDA","60275","0","6521","0","2019","Accident and Health"
"195","AETNA HEALTH AND LIFE INSURANCE COMPANY","78700","0","21785","0","2019","Accident and Health"
